"","A.q103_district","distcount","herbi_1st_use","firstusecount","percent","cumulative_percent"
"103","Samastipur",20,2010,2,10,20
"104","Saran",21,2010,2,9.52380952380952,14.2857142857143
"105","Sheohar",29,2010,1,3.44827586206897,17.2413793103448
"106","Sitamarhi",29,2010,3,10.3448275862069,20.6896551724138
"107","Siwan",23,2010,1,4.34782608695652,17.3913043478261
"108","Supaul",19,2010,2,10.5263157894737,10.5263157894737
"109","Vaishali",16,2010,6,37.5,50
"110","WestChamparan",11,2010,2,18.1818181818182,27.2727272727273
"111","Begusarai",53,2011,1,1.88679245283019,22.6415094339623
"112","EastChamparan",41,2011,1,2.4390243902439,29.2682926829268
"113","Jehanabad",30,2011,1,3.33333333333333,26.6666666666667
"114","Arwal",23,2012,3,13.0434782608696,39.1304347826087
"115","Banka",43,2012,2,4.65116279069767,20.9302325581395
"116","Begusarai",53,2012,1,1.88679245283019,24.5283018867925
"117","Bhagalpur",42,2012,3,7.14285714285714,30.9523809523809
"118","Buxar",27,2012,2,7.40740740740741,29.6296296296296
"119","Gopalganj",21,2012,1,4.76190476190476,9.52380952380952
"120","Jehanabad",30,2012,1,3.33333333333333,30
"121","Khagaria",43,2012,2,4.65116279069767,20.9302325581395
"122","Lakhisarai",46,2012,1,2.17391304347826,30.4347826086957
"123","Madhepura",34,2012,2,5.88235294117647,14.7058823529412
"124","Munger",49,2012,3,6.12244897959184,26.530612244898
"125","Muzaffarpur",51,2012,1,1.96078431372549,17.6470588235294
"126","Nalanda",42,2012,1,2.38095238095238,28.5714285714286
"127","Rohtas",46,2012,3,6.52173913043478,34.7826086956522
"128","Saharsa",33,2012,1,3.03030303030303,12.1212121212121
"129","Saran",21,2012,1,4.76190476190476,19.047619047619
"130","Sheohar",29,2012,1,3.44827586206897,20.6896551724138
"131","Sitamarhi",29,2012,2,6.89655172413793,27.5862068965517
"132","Arah",32,2013,1,3.125,28.125
"133","Aurangabad",27,2013,1,3.7037037037037,55.5555555555556
"134","Banka",43,2013,1,2.32558139534884,23.2558139534884
"135","Begusarai",53,2013,2,3.77358490566038,28.3018867924528
"136","Bhagalpur",42,2013,1,2.38095238095238,33.3333333333333
"137","Buxar",27,2013,2,7.40740740740741,37.037037037037
"138","EastChamparan",41,2013,5,12.1951219512195,41.4634146341463
"139","Gaya",29,2013,3,10.3448275862069,34.4827586206897
"140","Gopalganj",21,2013,3,14.2857142857143,23.8095238095238
"141","Kaimur",29,2013,1,3.44827586206897,27.5862068965517
"142","Katihar",20,2013,1,5,25
"143","Lakhisarai",46,2013,1,2.17391304347826,32.6086956521739
"144","Madhepura",34,2013,1,2.94117647058824,17.6470588235294
"145","Munger",49,2013,3,6.12244897959184,32.6530612244898
"146","Nalanda",42,2013,3,7.14285714285714,35.7142857142857
"147","Patna",12,2013,1,8.33333333333333,33.3333333333333
"148","Rohtas",46,2013,2,4.34782608695652,39.1304347826087
"149","Samastipur",20,2013,1,5,25
"150","Sitamarhi",29,2013,4,13.7931034482759,41.3793103448276
"151","Siwan",23,2013,2,8.69565217391304,26.0869565217391
